UNITID,Year,STATE,INSTNM,Program Area,PROGRAM,EPPP #,EPPP_RATE,Content Area,%_Correct,APA_Accredited_Program,Program Area - Copy,PCSAS_Accredited,CUDCP_Accredited
,2017,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,10,100.00%,ASSESSMENT/DIAGNOSIS,80.40%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,10,100.00%,TREATMENT/INTERVENTION,78.70%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,10,100.00%,RESEARCH_METHODS/STATISTICS,71.50%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,10,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,77.50%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,BIOLOGICAL_BOB,74.92%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,COGNITIVE_AFFECTIVE_BOB,80.58%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,SOCIAL/CULTURAL_BOB,79.08%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,GROWTH/LIFSPAN_DEVL,73.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,ASSESSMENT/DIAGNOSIS,76.58%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,TREATMENT/INTERVENTION,81.17%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,RESEARCH_METHODS/STATISTICS,78.75%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,81.17%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,15,100.00%,BIOLOGICAL_BOB,82.87%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,15,100.00%,COGNITIVE_AFFECTIVE_BOB,83.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,15,100.00%,SOCIAL/CULTURAL_BOB,79.27%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,15,100.00%,GROWTH/LIFSPAN_DEVL,74.53%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,15,100.00%,ASSESSMENT/DIAGNOSIS,77.53%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,15,100.00%,TREATMENT/INTERVENTION,79.40%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,15,100.00%,RESEARCH_METHODS/STATISTICS,82.40%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,15,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,78.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Toronto Metropolitan University,Clinical Ph.D.,Clinical Ph.D.,26,100.00%,BIOLOGICAL_BOB,81.38%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Toronto Metropolitan University,Clinical Ph.D.,Clinical Ph.D.,26,100.00%,COGNITIVE_AFFECTIVE_BOB,84.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Toronto Metropolitan University,Clinical Ph.D.,Clinical Ph.D.,26,100.00%,SOCIAL/CULTURAL_BOB,81.12%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Toronto Metropolitan University,Clinical Ph.D.,Clinical Ph.D.,26,100.00%,GROWTH/LIFSPAN_DEVL,79.92%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Toronto Metropolitan University,Clinical Ph.D.,Clinical Ph.D.,26,100.00%,ASSESSMENT/DIAGNOSIS,83.04%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Toronto Metropolitan University,Clinical Ph.D.,Clinical Ph.D.,26,100.00%,TREATMENT/INTERVENTION,83.81%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Toronto Metropolitan University,Clinical Ph.D.,Clinical Ph.D.,26,100.00%,RESEARCH_METHODS/STATISTICS,83.31%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,Toronto Metropolitan University,Clinical Ph.D.,Clinical Ph.D.,26,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,83.88%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Guelph,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,BIOLOGICAL_BOB,78.17%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Guelph,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,COGNITIVE_AFFECTIVE_BOB,82.17%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Guelph,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,SOCIAL/CULTURAL_BOB,75.78%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Guelph,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,GROWTH/LIFSPAN_DEVL,79.50%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Guelph,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,ASSESSMENT/DIAGNOSIS,78.72%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Guelph,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,TREATMENT/INTERVENTION,79.28%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Guelph,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,RESEARCH_METHODS/STATISTICS,83.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Guelph,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,82.78%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,BIOLOGICAL_BOB,87.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,COGNITIVE_AFFECTIVE_BOB,86.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,SOCIAL/CULTURAL_BOB,81.40%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,GROWTH/LIFSPAN_DEVL,82.80%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,ASSESSMENT/DIAGNOSIS,78.40%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,TREATMENT/INTERVENTION,84.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,RESEARCH_METHODS/STATISTICS,80.60%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,83.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,BIOLOGICAL_BOB,82.57%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,COGNITIVE_AFFECTIVE_BOB,85.86%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,SOCIAL/CULTURAL_BOB,80.71%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,GROWTH/LIFSPAN_DEVL,82.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,ASSESSMENT/DIAGNOSIS,78.71%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,TREATMENT/INTERVENTION,76.14%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,RESEARCH_METHODS/STATISTICS,80.86%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,85.71%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,32,100.00%,BIOLOGICAL_BOB,81.81%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,32,100.00%,COGNITIVE_AFFECTIVE_BOB,82.91%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,32,100.00%,SOCIAL/CULTURAL_BOB,82.50%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,32,100.00%,GROWTH/LIFSPAN_DEVL,80.78%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,32,100.00%,ASSESSMENT/DIAGNOSIS,80.50%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,32,100.00%,TREATMENT/INTERVENTION,80.16%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,32,100.00%,RESEARCH_METHODS/STATISTICS,85.59%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2019,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,32,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,80.47%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,BIOLOGICAL_BOB,76.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,COGNITIVE_AFFECTIVE_BOB,81.25%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,SOCIAL/CULTURAL_BOB,79.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,GROWTH/LIFSPAN_DEVL,72.17%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,ASSESSMENT/DIAGNOSIS,76.08%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,TREATMENT/INTERVENTION,81.42%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,RESEARCH_METHODS/STATISTICS,75.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Lakehead University,Clinical Ph.D.,Clinical Ph.D.,12,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,78.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,BIOLOGICAL_BOB,78.89%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,COGNITIVE_AFFECTIVE_BOB,87.22%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,SOCIAL/CULTURAL_BOB,76.56%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,GROWTH/LIFSPAN_DEVL,77.39%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,ASSESSMENT/DIAGNOSIS,78.67%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,TREATMENT/INTERVENTION,78.89%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,RESEARCH_METHODS/STATISTICS,79.11%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,Queens University,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,84.72%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Toronto Scarborough,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,BIOLOGICAL_BOB,83.14%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Toronto Scarborough,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,COGNITIVE_AFFECTIVE_BOB,77.57%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Toronto Scarborough,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,SOCIAL/CULTURAL_BOB,72.86%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Toronto Scarborough,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,GROWTH/LIFSPAN_DEVL,70.14%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Toronto Scarborough,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,ASSESSMENT/DIAGNOSIS,75.29%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Toronto Scarborough,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,TREATMENT/INTERVENTION,77.14%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Toronto Scarborough,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,RESEARCH_METHODS/STATISTICS,78.43%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Toronto Scarborough,Clinical Ph.D.,Clinical Ph.D.,7,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,85.71%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,BIOLOGICAL_BOB,86.17%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,COGNITIVE_AFFECTIVE_BOB,81.83%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,SOCIAL/CULTURAL_BOB,84.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,GROWTH/LIFSPAN_DEVL,81.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,ASSESSMENT/DIAGNOSIS,77.83%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,TREATMENT/INTERVENTION,88.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,RESEARCH_METHODS/STATISTICS,81.83%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,89.17%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,9,100.00%,BIOLOGICAL_BOB,84.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,9,100.00%,COGNITIVE_AFFECTIVE_BOB,85.67%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,9,100.00%,SOCIAL/CULTURAL_BOB,80.44%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,9,100.00%,GROWTH/LIFSPAN_DEVL,68.78%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,9,100.00%,ASSESSMENT/DIAGNOSIS,82.11%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,9,100.00%,TREATMENT/INTERVENTION,82.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,9,100.00%,RESEARCH_METHODS/STATISTICS,73.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,9,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,83.11%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,29,100.00%,BIOLOGICAL_BOB,83.07%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,29,100.00%,COGNITIVE_AFFECTIVE_BOB,83.90%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2023,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,29,100.00%,SOCIAL/CULTURAL_BOB,80.72%,Ukn,Clinical Ph.D.,Ukn,Ukn
